Timestamp,What grade are you in right now?,What science class(es) are you currently taking?,What science class(es) did you take last year?,What science class(es) are you planning to take next year?,What math class(es) are you currently taking?,What math class(es) did you take last year?,What math class(es) are you planning to take next year?
3/21/2022 11:32:06,11,AP Environmental Science,Chemistry,AP Physics 1,Introduction to Analysis & Calculus,Algebra 2 Trigonometry A,AP Calculus AB
3/21/2022 11:32:53,12,Physics,AP Biology,I'm currently a Senior,AP Calculus AB,Introduction to Analysis & Calculus,I'm currently a Senior
3/21/2022 11:43:47,10,Chemistry Honors,Biology Honors,Physics,Algebra 2 Trigonometry H,Geometry H,Introduction to Analysis & Calculus
3/21/2022 11:46:11,10,Chemistry Honors,Biology,AP Chemistry,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 11:48:37,10,Chemistry Honors,Biology,AP Chemistry,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 11:49:01,10,Chemistry Honors,Biology Honors,"AP Physics 1, AP Chemistry",Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/21/2022 11:49:55,12,Chemistry Honors,Biology Honors,"AP Physics C Mechanics ONLY, AP Chemistry",Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/21/2022 11:51:09,11,Chemistry Honors,Biology Honors,"AP Chemistry, AP Biology",Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/21/2022 11:52:02,10,Chemistry Honors,Biology Honors,AP Chemistry,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 11:52:15,9,Biology Honors,I'm currently a Freshman,Chemistry Honors,Algebra 2 Trigonometry H,"Geometry H, I'm currently a Freshman",Analysis H
3/21/2022 11:52:26,10,Chemistry Honors,Biology Honors,"AP Physics 1, AP Chemistry",Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/21/2022 11:52:48,10,Chemistry Honors,Biology Honors,AP Physics 1,Algebra 2 Trigonometry H,Geometry H,"Analysis H, AP Statistics"
3/21/2022 11:52:52,10,Chemistry Honors,Biology Honors,AP Physics C Mechanics ONLY,Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/21/2022 11:52:52,10,Chemistry Honors,Biology Honors,AP Physics C Mechanics + EM,"Analysis H, i am totally not in your math class",Algebra 2 Trigonometry H,AP Calculus BC
3/21/2022 11:54:46,10,Chemistry Honors,Biology Honors,"AP Chemistry, AP Environmental Science",Algebra 2 Trigonometry H,Geometry A,Analysis H
3/21/2022 11:59:37,10,Chemistry Honors,Biology Honors,"AP Biology, Biotechnology",Algebra 2 Trigonometry H,Geometry A,Analysis H
3/21/2022 12:00:46,10,Chemistry Honors,Biology,AP Chemistry,Algebra 2 Trigonometry A,Geometry A,Introduction to Analysis & Calculus
3/21/2022 12:01:47,10,Chemistry Honors,Biology Honors,AP Biology,Algebra 2 Trigonometry H,Geometry H,Introduction to Analysis & Calculus
3/21/2022 12:02:15,10,Chemistry Honors,Biology Honors,AP Physics 1,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:02:24,10,"Chemistry Honors, AP CS A",Biology Honors,"AP Physics 1, AP Biology",Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:04:17,10,Chemistry Honors,Biology Honors,"AP Chemistry, Anatomy & Physiology ",Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:15:15,10,Chemistry Honors,Biology Honors,AP Chemistry,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:21:40,11,AP Physics 1,Chemistry Honors,AP Physics C Mechanics + EM,AP Calculus BC,Analysis H,AP Statistics
3/21/2022 12:22:50,10,Chemistry Honors,Biology,AP Physics 1,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:24:17,10,Chemistry Honors,Biology Honors,"Physics, AP Chemistry",Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:24:19,12,AP Environmental Science,AP Biology,I'm currently a Senior,AP Calculus AB,Introduction to Analysis & Calculus,I'm currently a Senior
3/21/2022 12:30:03,10,Chemistry Honors,Biology Honors,AP Chemistry,Algebra 2 Trigonometry H,Geometry H,"Analysis H, AP Statistics"
3/21/2022 12:35:01,10,Chemistry Honors,Biology,AP Chemistry,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:38:42,12,AP Environmental Science,No Science,I'm currently a Senior,AP Calculus AB,Analysis H,I'm currently a Senior
3/21/2022 12:41:52,10,Chemistry Honors,Biology Honors,AP Biology,Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/21/2022 12:48:50,10,Physics,Biology,AP Physics 1,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:49:56,9,Biology Honors,I'm currently a Freshman,Chemistry Honors,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 12:50:50,9,Biology Honors,I'm currently a Freshman,Chemistry,Algebra 1A,I'm currently a Freshman,Algebra 2 Trigonometry A
3/21/2022 12:58:02,11,AP Physics C Mechanics + EM,Chemistry Honors,AP Chemistry,Applied Math,Analysis H,AP Statistics
3/21/2022 13:02:52,9,Biology Honors,I'm currently a Freshman,Chemistry Honors,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 13:03:51,10,Chemistry Honors,Biology Honors,Physics,Algebra 2 Trigonometry H,Geometry H,Introduction to Analysis & Calculus
3/21/2022 13:04:40,11,AP Physics C Mechanics + EM,Chemistry Honors,AP Biology,AP Calculus BC,Analysis H,Applied Math
3/21/2022 13:12:03,11,AP Physics 1,Chemistry Honors,AP Physics C Mechanics + EM,Analysis H,"Algebra 2 Trigonometry H, AP Calculus BC","AP Statistics, Multivariable Calculus"
3/21/2022 13:14:23,9,Biology Honors,I'm currently a Freshman,Chemistry Honors,Analysis H,I'm currently a Freshman,AP Calculus BC
3/21/2022 13:14:45,11,Astrophysics,Chemistry Honors,AP Physics 1,Introduction to Analysis & Calculus,Algebra 2 Trigonometry A,AP Calculus BC
3/21/2022 13:17:50,10,Chemistry,Biology,Physics,Algebra 2 Trigonometry A,Geometry A,Introduction to Analysis & Calculus
3/21/2022 13:17:59,10,Chemistry Honors,Biology Honors,AP Chemistry,Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/21/2022 13:28:37,10,Chemistry Honors,Biology,AP Chemistry,Algebra 2 Trigonometry A,Geometry A,Pre-Calculus
3/21/2022 13:46:07,11,AP Physics C Mechanics + EM,Chemistry Honors,AP Chemistry,AP Statistics,Multivariable Calculus,No Math
3/21/2022 13:51:12,10,Chemistry Honors,Biology Honors,"Physics, AP Chemistry",Algebra 2 Trigonometry H,Geometry H,"Analysis H, AP Statistics"
3/21/2022 13:53:14,12,No Science,AP Environmental Science,I'm currently a Senior,AP Calculus BC,Analysis H,I'm currently a Senior
3/21/2022 14:00:35,9,Biology,I'm currently a Freshman,Chemistry Honors,Analysis H,I'm currently a Freshman,AP Calculus BC
3/21/2022 14:19:10,11,AP Physics C Mechanics + EM,Chemistry Honors,No Science,AP Calculus BC,Analysis H,"AP Statistics, Applied Math, Multivar"
3/21/2022 14:47:25,11,AP Physics C Mechanics + EM,Chemistry Honors,AP Chemistry,AP Calculus BC,Analysis H,"AP Statistics, Multivar Calc + Linear Algebra + Discrete Mathematics"
3/21/2022 14:57:28,9,Biology Honors,I'm currently a Freshman,Chemistry Honors,Geometry H,I'm currently a Freshman,Algebra 2 Trigonometry H
3/21/2022 15:53:51,11,AP Chemistry,Chemistry Honors,AP Physics C Mechanics ONLY,Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/21/2022 16:17:05,10,Chemistry Honors,Biology Honors,AP Physics 1,Algebra 2 Trigonometry H,Geometry H,"Analysis H, Applied Math"
3/21/2022 16:19:43,10,Chemistry Honors,Biology Honors,AP Physics C Mechanics + EM,AP Calculus BC,Analysis H,Multivariable 
3/21/2022 16:37:18,10,Chemistry Honors,Biology Honors,AP Chemistry,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 16:43:46,10,Chemistry Honors,Biology Honors,AP Chemistry,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 16:45:36,10,Chemistry Honors,Biology Honors,AP Physics 1,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/21/2022 16:48:42,10,Chemistry,Biology,AP Physics 1,Algebra 2 Trigonometry H,Geometry H,"Analysis H, AP Statistics"
3/21/2022 16:48:51,12,AP Physics C Mechanics ONLY,AP Biology,I'm currently a Senior,AP Calculus BC,"Analysis H, AP Statistics",I'm currently a Senior
3/21/2022 18:26:29,10,Chemistry Honors,Biology,AP Physics 1,Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/21/2022 18:39:27,10,Chemistry,Biology,AP Environmental Science,Geometry A,Algebra 1A,Algebra 2 Trigonometry A
3/21/2022 22:52:55,11,AP Physics C Mechanics + EM,Chemistry Honors,foothill courses!,AP Calculus BC,Analysis H,Multivar
3/21/2022 22:55:34,11,"Physics, AP Chemistry",Chemistry,AP Physics C Mechanics + EM,Introduction to Analysis & Calculus,Algebra 2 Trigonometry A,"AP Calculus AB, AP Calc AB or BC"
3/22/2022 0:03:50,11,AP Physics 1,Chemistry Honors,AP Physics C Mechanics + EM,Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/22/2022 0:27:11,10,Chemistry,Biology,AP Physics 1,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/22/2022 8:32:18,11,AP Chemistry,Chemistry Honors,AP Physics C Mechanics + EM,AP Calculus BC,Analysis H,AP Statistics
3/22/2022 9:40:17,11,AP Physics 1,Chemistry Honors,AP Physics C Mechanics + EM,Analysis H,"Algebra 2 Trigonometry H, AP Statistics",AP Calculus BC
3/22/2022 9:40:28,11,AP Physics 1,Chemistry Honors,"AP Physics C Mechanics + EM, AP Chemistry","Analysis H, Applied Math",Algebra 2 Trigonometry H,AP Calculus BC
3/22/2022 11:10:55,10,"Chemistry Honors, Physics",Biology Honors,"AP Chemistry, AP Biology",Algebra 2 Trigonometry H,Geometry H,"Analysis H, AP Statistics"
3/22/2022 11:30:14,12,"No Science, I took AP Physics C Mechanics as a semester class last semester but dropped this semester.",AP Biology,I'm currently a Senior,AP Calculus BC,"Analysis H, AP Statistics",I'm currently a Senior
3/22/2022 12:03:27,11,AP Physics 1,Physics,Chemistry,Analysis H,Algebra 2 Trigonometry H,"AP Calculus BC, Applied Math"
3/22/2022 14:43:00,9,Biology,I'm currently a Freshman,Chemistry Honors,Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/22/2022 14:44:20,11,Physics,Chemistry,Astrophysics,Algebra 2 Trigonometry A,Geometry,AP Statistics
3/22/2022 14:56:07,11,Physics,Chemistry Honors,Astrophysics,Introduction to Analysis & Calculus,Algebra 2 Trigonometry A,AP Calculus AB
3/22/2022 15:05:31,11,Physics,Chemistry,No Science,Introduction to Analysis & Calculus,Algebra 2 Trigonometry A,AP Calculus AB
3/22/2022 15:07:10,11,"AP Physics 1, AP Environmental Science",Chemistry Honors,No Science,Analysis H,Algebra 2 Trigonometry H,"AP Calculus BC, Applied Math"
3/22/2022 15:25:31,9,Biology,I'm currently a Freshman,Chemistry,Geometry A,Algebra 1A,Algebra 2 Trigonometry A
3/22/2022 15:28:52,11,"AP Biology, AP Environmental Science",Chemistry Honors,"AP Physics C Mechanics + EM, anatomy & physiology ","Analysis H, AP Statistics",Algebra 2 Trigonometry H,AP Calculus BC
3/22/2022 15:29:21,11,AP Chemistry,Chemistry,AP Physics 1,"Introduction to Analysis & Calculus, AP Statistics",Algebra 2 Trigonometry A,AP Calculus AB
3/22/2022 15:40:40,11,AP Physics C Mechanics + EM,Chemistry Honors,No Science,No Math,AP Calculus BC,Multivariable calculus
3/22/2022 15:50:19,11,AP Physics 1,Chemistry Honors,AP Physics C Mechanics + EM,Analysis H,Algebra 2 Trigonometry H,"AP Calculus BC, AP Statistics, Applied Math"
3/22/2022 16:33:09,10,Chemistry Honors,Biology Honors,AP Physics 1,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/22/2022 17:29:44,10,Chemistry Honors,Biology Honors,AP Chemistry,Algebra 2 Trigonometry H,Geometry H,"Analysis H, AP Statistics"
3/22/2022 18:00:47,11,AP Physics 1,Chemistry Honors,AP Physics C Mechanics + EM,"Analysis H, AP Statistics",Algebra 2 Trigonometry H,AP Calculus BC
3/22/2022 19:03:58,11,Physics,Chemistry Honors,AP Physics C Mechanics + EM,Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/22/2022 20:30:58,12,Marine Biology,"Physics, AP Physics 1",I'm currently a Senior,AP Calculus AB,Introduction to Analysis & Calculus,I'm currently a Senior
3/22/2022 20:34:25,11,"AP Physics 1, AP Biology",Chemistry Honors,"AP Physics C Mechanics ONLY, AP Chemistry","AP Calculus BC, AP Statistics",Analysis H,Multivariable Calculus
3/22/2022 21:21:13,9,Biology,I'm currently a Freshman,Conceptual Physics,Algebra 1A,I'm currently a Freshman,Geometry
3/22/2022 21:23:13,10,Chemistry Honors,Biology Honors,"AP Biology, Marine Biology",Algebra 2 Trigonometry A,Geometry H,Analysis H
3/23/2022 0:10:02,12,AP Physics 1,"AP Chemistry, AP Environmental Science",I'm currently a Senior,AP Calculus BC,Analysis H,I'm currently a Senior
3/23/2022 7:06:03,11,AP Physics 1,Chemistry Honors,Astrophysics,Analysis H,Algebra 2 Trigonometry H,"AP Calculus BC, AP Statistics"
3/23/2022 10:12:35,10,Chemistry Honors,Biology Honors,AP Physics C Mechanics + EM,AP Calculus BC,Analysis H,"Applied Math, Multivariable Calculus"
3/23/2022 10:13:43,10,Chemistry,,Physics,Algebra 2 Trigonometry H,Geometry H,Analysis H
3/23/2022 10:37:45,11,AP Chemistry,Chemistry Honors,"AP Physics C Mechanics + EM, Biotechnology",Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/23/2022 10:49:13,9,Biology,I'm currently a Freshman,"Chemistry, Chemistry Honors",Geometry H,I'm currently a Freshman,Algebra 2 Trigonometry H
3/23/2022 17:35:24,10,Physics,Biology,No Science,Algebra 2 Trigonometry A,Geometry A,Introduction to Analysis & Calculus
3/23/2022 19:45:59,10,Chemistry Honors,Biology Honors,AP Physics C Mechanics ONLY,Analysis H,Algebra 2 Trigonometry H,AP Calculus BC
3/23/2022 21:35:24,10,Chemistry Honors,Biology Honors,AP Chemistry,Algebra 2 Trigonometry H,"Geometry A, Geometry H",Analysis H
3/23/2022 23:07:25,10,Chemistry Honors,Biology Honors,AP Physics C Mechanics + EM,AP Calculus BC,Analysis H,"AP Statistics, multivariable calculus"
3/24/2022 9:43:40,9,Biology Honors,I'm currently a Freshman,Chemistry Honors,Algebra 2 Trigonometry H,"Geometry H, I'm currently a Freshman",Analysis H
3/24/2022 15:34:13,11,AP Physics C Mechanics + EM,Chemistry Honors,AP Chemistry,"AP Calculus BC, AP Statistics, Applied Math",Analysis H,"multivariable differential calculus, multivariable integral calculus, linear algebra"